ENGLISH,TÜRKÇE
presently,şu anda
preservation,koruma
preside,başkanlık etmek
presidency,başkanlık
presidential,başkanlık
prestigious,prestijli
presumably,muhtemelen
presume,varsaymak
prevail,hakim olmak
prevalence,yaygınlık
prevention,önleme
prey,kurban
pride,gurur
primarily,öncelikle
principal,müdür
prior,önceki
privatization,özelleştirme
privilege,ayrıcalık
probability,olasılık
probable,olası
probe,"incelemek, bulmak"
problematic,sorunlu
proceed,ilerlemek
proceeding,ilerleme
proceeds,gelir
processing,işleme
processor,işlemci
proclaim,ilan etmek
productive,üretken
productivity,verimlilik
profitable,kârlı
profound,engin
programming,programlama
progressive,ilerici
prohibit,yasaklamak
projection,projeksiyon
prominent,öne çıkan
promising,umut verici
promotion,terfi
prompt,çabuk
pronounced,belirgin
propaganda,propaganda
proportion,oran
proposition,önerme
prosecute,kovuşturmak
prosecution,Soruşturma
prosecutor,Savcı
prospective,muhtemel
prosperity,refah
protective,koruyucu
protein,protein
protester,protestocu
protocol,protokol
province,vilayet
provincial,il
provision,karşılık
provoke,kışkırtmak
psychiatric,psikiyatrik
psychological,psikolojik
publicity,tanıtım
publishing,yayınlama
pulse,nabız
pump,pompa
punch,yumruk
punk,punk
purely,yalnızca
pursuit,kovalama
puzzle,bulmaca
pace,adımlamak
pack,ambalaj
package,paketi
page,sayfa
pain,ağrı
painful,acı verici
paint,boyamak
painter,ressam
painting,tablo
pair,çift
palace,Saray
pale,solgun
pan,tava
panel,panel
pants,pantolon
paper,kağıt
paragraph,paragraf
parent,ebeveyn
park,park
parking,otopark
parliament,parlamento
part,parça
participant,katılımcı
participate,katılmak
particular,özel
particularly,özellikle
partly,kısmen
partner,ortak
party,Parti
pass,geçmek
passage,geçit
passenger,yolcu
passion,tutku
passport,pasaport
past,geçmiş
path,yol
patient,hasta
pattern,model
pay,ödemek
payment,ödeme
peace,barış
peaceful,barışçıl
pen,dolma kalem
pencil,kalem
penny,kuruş
pension,emeklilik
people,insanlar
pepper,biber
per,başına
per cent,yüzde
percentage,yüzde
perfect,mükemmel
perfectly,kusursuzca
perform,rol yapmak
performance,verim
perhaps,belki
period,dönem
permanent,kalıcı
permission,izin
permit,izin vermek
person,kişi
personal,kişisel
personality,kişilik
personally,Şahsen
perspective,perspektif
persuade,ikna etmek
pet,Evcil Hayvan
petrol,benzin
phase,faz
phenomenon,fenomen
philosophy,Felsefe
phone,telefon
photo,Fotoğraf
photograph,fotoğraf
photographer,fotoğrafçı
photography,fotoğrafçılık
phrase,ifade etmek
physical,fiziksel
physics,fizik
piano,piyano
pick,seçmek
picture,resim
piece,parça
pig,domuz
pile,istif
pilot,pilot
pin,toplu iğne
pink,pembe
pipe,boru
pitch,saha
place,yer
plain,ova
plan,plan
plane,uçak
planet,gezegen
planning,planlama
plant,bitki
plastic,plastik
plate,plaka
platform,platform
play,oynamak
player,oyuncu
pleasant,güzel
please,Lütfen
pleased,memnun
pleasure,zevk
plenty,bolca
plot,komplo
plus,artı
pocket,cep
poem,şiir
poet,şair
poetry,şiir
point,nokta
pointed,işaretlendi
poison,zehir
poisonous,zehirli
police,polis
policeman,polis
policy,politika
polite,kibar
political,siyasi
politician,politikacı
politics,siyaset
pollution,kirlilik
pool,havuz
poor,fakir
pop,pop
popular,popüler
popularity,popülerlik
population,nüfus
port,liman
portrait,Vesika
pose,poz
position,konum
positive,pozitif
possess,elinde bulundurmak
possession,mülk
possibility,olasılık
possible,olası
possibly,muhtemelen
post,postalamak
poster,afiş
pot,tencere
potato,patates
potential,potansiyel
pound,pound
pour,dökün
poverty,yoksulluk
powder,pudra
power,güç
powerful,güçlü
practical,pratik
practice,pratik
practise,pratik
praise,övmek
pray,dua etmek
prayer,namaz
predict,tahmin etmek
prediction,tahmin
prefer,tercih etmek
pregnant,hamile
preparation,hazırlık
prepare,hazırlanmak
prepared,tedarikli
presence,mevcudiyet
present,Sunmak
presentation,sunum
preserve,korumak
president,başkan
press,basmak
pressure,basınç
pretend,numara yapmak
pretty,tatlı
prevent,önlemek
previous,öncesi
previously,önceden
price,fiyat
priest,rahip
primary,öncelik
prime,astar vurmak
prince,prens
princess,prenses
principle,prensip
print,Yazdır
printer,yazıcı
printing,baskı
priority,öncelik
prison,hapishane
prisoner,mahkum
privacy,mahremiyet
private,özel
prize,ödül
probably,muhtemelen
problem,sorun
procedure,prosedür
process,işlem
produce,üretmek
producer,üretici
product,ürün
production,üretme
profession,meslek
professional,profesyonel
professor,profesör
profile,profil
profit,kâr
program,program
programme,program
progress,ilerlemek
project,proje
promise,söz
promote,terfi
pronounce,telaffuz
proof,kanıt
proper,düzgün
properly,düzgün bir şekilde
property,mülk
proposal,teklif
propose,"teklif etmek, önermek"
prospect,olasılık
protect,korumak
protection,koruma
protest,protesto
proud,gurur duymak
prove,kanıtlamak
provide,sağlamak
psychologist,psikolog
psychology,Psikoloji
pub,pub
public,halk
publication,yayın
publish,Yayınla
pull,çekmek
punish,cezalandırmak
punishment,ceza
pupil,öğrenci
purchase,satın almak
pure,saf
purple,mor
purpose,amaç
pursue,izlemek
push,itmek
put,koymak
query,sorgu
quest,arayış
questionnaire,anket
quota,kota
qualification,vasıf
qualified,nitelikli
qualify,nitelemek
quality,kalite
quantity,miktar
quarter,çeyrek
queen,kraliçe
question,soru
queue,sıra
quick,hızlı
quickly,hızlıca
quiet,sessizlik
quietly,sessizce
quit,çıkış yapmak
quite,epeyce
quotation,alıntı yapmak
quote,alıntı
racial,ırksal
racism,ırkçılık
racist,ırkçı
radar,radar
radiation,radyasyon
radical,radikal
rage,öfkelenmek
raid,yağma
rail,Demiryolu
rally,ralli
random,rastgele
ranking,sıralama
rape,tecavüz etmek
rat,fare
rating,değerlendirme
ratio,oran
rational,akılcı
ray,ışıltı
readily,kolayca
realization,gerçekleştirme
realm,Diyar
rear,arka
reasonably,makul bir şekilde
reasoning,akıl yürütme
reassure,güvence vermek
rebel,isyancı
rebellion,isyan
rebuild,yeniden inşa etmek
receiver,alıcı
recession,durgunluk
recipient,alıcı
reckon,tahmin temek
recognition,tanıma
reconstruction,yeniden yapılanma
recount,yeniden saymak
recovery,iyileşmek
recruit,iyileştirmek
recruitment,işe alım
referee,hakem
referendum,referandum
reflection,refleks
reform,reform
refuge,sığınmak
refugee,mülteci
refusal,reddetme
regain,yeniden kazanmak
regardless,ne olursa olsun
regime,rejim
registration,kayıt
regulate,düzenlemek
regulator,regülatör
regulatory,düzenleyici
rehabilitation,rehabilitasyon
reign,saltanat
reinforce,güçlendirmek
rejection,reddetme
relevance,alaka düzeyi
reliability,güvenilirlik
relieve,rahatlamak
relieved,rahatlamak
reluctant,isteksiz
remainder,geri kalan
remains,kalıntılar
remarkable,dikkat çekici
remarkably,dikkate alınarak
remedy,çare
reminder,hatırlatma
removal,kaldırma
render,işlemek
renew,Yenile
renowned,ünlü
rental,kira
replacement,yenisiyle değiştirme
reportedly,bildirilmiş
reporting,raporlama
representation,temsil
reproduce,üretmek
reproduction,üreme
republic,cumhuriyet
resemble,benzemek
reside,ikamet
residence,Konut
residential,yerleşim
residue,kalıntı
resign,istifa etmek
resignation,istifa
resistance,rezistans
resolution,çözünürlük
respective,saygılı
respectively,sırasıyla
restoration,restorasyon
restore,eski haline getirmek
restraint,kısıtlama
restrict,kısıtlamak
restriction,kısıtlama
resume,sürdürmek
retail,perakende
retirement,emeklilik
retreat,geri çekilmek
retrieve,geri almak
revelation,vahiy
revenge,intikam
revenue,hasılat
reverse,tersi
revision,revizyon
revival,canlanma
revive,canlandırmak
revolutionary,devrimci
rhetoric,retorik
ridiculous,saçma
rifle,tüfek
riot,isyan
rip,Huzur içinde yatsın
risky,riskli
ritual,ritüel
rival,rakip
rob,soymak
robbery,soygun
robust,güçlü
rock,kaynak
rocket,roket
rod,kamış
romance,romantik
rose,gül
rotate,döndürmek
rotation,dönme
roughly,kabaca
ruin,mahvetmek
ruling,yonetmek
rumour,söylenti
race,ırk
racing,yarışma
radio,radyo
railway,demiryolu
rain,yağmur
raise,artırmak
range,menzil
rank,rütbe
rapid,ani
rapidly,hızlıca
rare,nadir
rarely,nadiren
rate,oran
rather,yerine
raw,çiğ
reach,ulaşmak
react,tepki
reaction,reaksiyon
read,Okumak
reader,okuyucu
reading,okuma
ready,hazır
real,gerçek
realistic,gerçekçi
reality,gerçeklik
realize,fark etmek
really,Gerçekten
reason,sebep
reasonable,mantıklı
recall,hatırlamak
receipt,fiş
receive,almak
recent,son
recently,son zamanlarda
reception,resepsiyon
recipe,yemek tarifi
recognize,tanımak
recommend,tavsiye etmek
recommendation,öneri
record,kayıt
recording,kayıt
recover,iyileşmek
recycle,geri dönüştürmek
red,kırmızı
reduce,azaltmak
reduction,kesinti
refer,bahsetmek
reference,referans
reflect,yansıtmak
refuse,reddetmek
regard,saygınlık
region,bölge
regional,bölgesel
register,kayıt olmak
regret,pişmanlık
regular,düzenli
regularly,düzenli olarak
regulation,düzenleme
reject,reddetmek
relate,ilgili olmak
related,ilgili
relation,ilişki
relationship,ilişki
relative,akraba
relatively,nispeten
relax,rahatlamak
relaxed,rahat
relaxing,rahatlatıcı
release,serbest bırakmak
relevant,ilgili
reliable,güvenilir
relief,rahatlama
religion,din
religious,din
rely,güvenmek
remain,geriye kalmak
remark,söz
remember,Unutma
remind,hatırlatmak
remote,uzak
remove,kaldırmak
rent,kira
repair,tamirat
repeat,tekrarlamak
repeated,tekrarlanan
replace,yer değiştirmek
reply,cevap vermek
report,rapor
reporter,muhabir
represent,temsil etmek
representative,temsilci
reputation,itibar
request,rica etmek
require,gerekmek
requirement,gereklilik
rescue,kurtarmak
research,araştırma
researcher,araştırmacı
reservation,rezervasyon
reserve,rezerve etmek
resident,ikamet eden kişi
resist,direnmek
resolve,çözmek
resort,tatil yeri
resource,kaynak
respect,Saygı
respond,yanıtlamak
response,cevap
responsibility,sorumluluk
responsible,sorumlu
rest,dinlenmek
restaurant,restoran
result,sonuç
retain,sürdürmek
retire,emekli olmak
retired,emekli
return,geri dönmek
reveal,ortaya çıkarmak
review,gözden geçirmek
revise,tekrar düzeltme yapmak
revolution,devrim
reward,ödül
rhythm,ritim
rice,pirinç
rich,zengin
rid,kurtulmak
ride,sürmek
right,Sağ
ring,yüzük
rise,yükselmek
risk,risk
river,nehir
road,yol
robot,robot
rock,kaynak
role,rol
roll,rulo
romantic,romantik
roof,çatı
room,oda
root,kök
rope,halat
rough,kaba 
round,yuvarlak
route,rota
routine,rutin
row,sıra
royal,asil
rub,ovmak
rubber,lastik
rubbish,zırva
rude,kaba
rugby,Ragbi
rule,kural
run,koşmak
runner,koşucu
running,koşma
rural,kırsal
rush,acele etmek
sack,çuval
sacred,kutsal
sacrifice,kurban etmek
saint,aziz
sake,hatır
sanction,yaptırım
satisfaction,memnuniyet
say,söylemek
scandal,skandal
scare,Korkmak
scattered,dağınık
scenario,senaryo
sceptical,şüpheci
scholar,akademisyen
scholarship,burs
scope,kapsam
scratch,çizik
screening,tarama
screw,vida
scrutiny,inceleme
seal,fok
secular,laik
seeker,arayan kimse
seemingly,görünüşte
segment,segment
seize,kapmak
seldom,nadiren
selective,seçici
seminar,seminer
senator,senatör
sensation,duygu
sensitivity,duyarlılık
sentiment,duygusallık
separation,ayrılma
serial,seri
set-up,kurmak
settlement,yerleşme
settler,yerleşimci
severely,şiddetli
sexuality,cinsellik
sexy,seksi
shaped,şekilli
shareholder,hissedar
shatter,kırmak
shed,baraka
sheer,sırf
shipping,Nakliye
shocking,şok edici
shoot,film çekmek
shore,sahil
short-term,kısa vadeli
shortage,kıtlık
shortly,kısa süre içinde
shrink,çekmek
shrug,omuz silkme
sibling,kardeş
sigh,iç çekmek
signature,imza
significance,önem
simulate,benzetmek
simulation,simülasyon
simultaneously,eşzamanlı
sin,günah
situated,yerleşmiş
sketch,eskiz
skilled,yetenekli
skip,atlamak
skull,kafatası
slam,çarpmak
slap,tokat
slash,yırtmaç
slavery,kölelik
slogan,slogan
slot,yuva
smash,paramparça etmek
snap,patlatmak
so-called,Lafta
soak,emmek
soar,yükselmek
socialist,sosyalist
sole,ayak tabanı
solely,sadece
solicitor,avukat
solidarity,dayanışma
solo,solo
somehow,bir şekilde
sometime,bazen
sophisticated,komplike
sound,ses
sovereignty,egemenlik
spam,istenmeyen e-posta
span,aralık
spare,kıyamamak
spark,kıvılcım
specialize,uzmanlaşmak
specialized,özel
specification,Şartname
specify,belirtmek
specimen,örnek
spectacle,gösteri
spectacular,muhteşem
spectator,seyirci
spectrum,spektrum
speculate,spekülasyon yapmak
speculation,spekülasyon
spell,hecelemek
sphere,küre
spill,dökülme
spin,döndürmek
spine,omurga
spite,kınama
spoil,şımartmak
spokesman,sözcü
spokesperson,sözcü
spokeswoman,sözcü
sponsorship,sponsorluk
sporting,spor
spotlight,spot ışığı
spouse,eş
spy,casus
squad,Tayfa
squeeze,sıkmak
stab,bıçaklamak
stability,istikrar
stabilize,stabilize etmek
stake,kazıklamak
stall,ahır
stance,duruş
standing,ayakta
stark,keskin
starve,açlıktan ölmek
statistical,istatistiksel
steadily,istikrarlı bir şekilde
steam,buhar
steer,yönlendirmek
stem,kök
stereotype,stereotip
stimulate,canlandırmak
stimulus,uyarıcı
stir,karıştırmak
storage,depolamak
straightforward,basit
strain,gerilmek
strand,iplik
strategic,stratejik
strengthen,güçlendirmek
strictly,kesin olarak
striking,dikkat çekici
strip,şerit
strive,çaba sarf etmek
stroke,felç
structural,yapısal
stumble,yanılmak
stun,sersemletmek
stunning,çekici
submission,boyun eğme
subscriber,abone
subscription,abonelik
subsequent,sonraki
subsequently,daha sonra
subsidy,sübvansiyon
substantial,varlıklı
substantially,esasen
substitute,yerine geçmek
substitution,ikame
subtle,hemen göze çarpmayan
suburb,kenar mahalle
suburban,banliyö
succession,halefiyet
successive,birbirini izleyen
successor,varis
suck,emmek
sue,Dava açmak
suffering,cefa
sufficient,yeterli
sufficiently,yeteri kadar
suicide,intihar
suite,süit
summit,toplantı
super,Süper
superb,müthiş
superior,üst
supervise,denetlemek
supervision,nezaret
supervisor,amir
supplement,tamamlayıcı
supportive,destekleyici
supposedly,sözde
suppress,bastırmak
supreme,yüce
surge,kabarmak
surgeon,Cerrah
surgical,cerrahi
surplus,fazla
surrender,teslim olmak
surveillance,gözetim
survival,hayatta kalma
survivor,hayatta kalan
suspend,askıya almak
suspension,süspansiyon
suspicion,şüphe
suspicious,şüpheli
sustain,güç vermek
sustainable,sürdürülebilir
swallow,yutmak
swing,sallanmak
sword,kılıç
symbolic,simgesel
sympathetic,sempatik
syndrome,sendrom
synthesis,sentez
systematic,sistematik
sad,üzgün
sadly,ne yazık ki
safe,güvenli
safety,emniyet
sail,denize açılmak
sailing,yelken
sailor,denizci
salad,salata
salary,maaş
sale,satış
salt,tuz
same,Aynı
sample,örnek
sand,kum
sandwich,sandviç
satellite,uydu
satisfied,memnun
satisfy,tatmin etmek
saturday,Cumartesi
sauce,Sos
save,kaydetmek
saving,tasarruf
say,söylemek
scale,ölçek
scan,taramak
scared,korkmuş
scary,korkutucu
scene,sahne
schedule,takvim
scheme,şema
school,okul
science,bilim
scientific,ilmi
scientist,bilim adamı
score,Gol
scream,bağırmak
screen,ekran
script,senaryo
sculpture,heykel
sea,deniz
search,aramak
season,mevsim
seat,koltuk
second,ikinci
secondary,ikincil
secondly,ikincisi
secret,gizli
secretary,Sekreter
section,bölüm
sector,sektör
secure,güvenli
security,güvenlik
see,Görmek
seed,tohum
seek,aramak
seem,gözükmek
select,seçme
selection,seçme
self,kendi kendine
sell,satmak
send,Göndermek
senior,kıdemli
sense,algı
sensible,mantıklı
sensitive,hassas
sentence,cümle
separate,ayırmak
september,eylül
sequence,sekans
series,seri
serious,cidden
seriously,Cidden
servant,hizmetkar
serve,sert
service,hizmet
session,oturum
set,ayarlamak
setting,ayar
settle,yerleşmek
seven,Yedi
seventeen,on yedi
seventy,yetmiş
several,birçok
severe,haşin
sex,seks
sexual,cinsel
shade,gölge
shadow,gölge
shake,sallamak
shall,acak
shallow,sığ
shame,utanç
shape,şekil
share,paylaşmak
sharp,keskin
she,o
sheep,koyun
sheet,çarşaf
shelf,raf
shell,kabuk
shelter,barınak
shift,vardiya
shine,parlamak
shiny,parlak
ship,gemi
shirt,gömlek
shock,şok
shocked,şok
shoe,ayakkabı
shoot,film çekmek
shooting,çekim
shop,mağaza
shopping,alışveriş
short,kısa
shot,atış
should,meli
shoulder,omuz
shout,bağırmak
show,göstermek
shower,duş
shut,kapamak
shy,utangaç
sick,hasta
side,taraf
sight,görünüş
sign,imza
signal,sinyal
significant,önemli
significantly,önemli ölçüde
silence,sessizlik
silent,sessiz
silk,ipek
silly,şapşal
silver,gümüş
similar,benzer
similarity,benzerlik
similarly,benzer şekilde
simple,basit
simply,basitçe
since,o zamandan beri
sincere,içten
sing,şarkı söylemek
singer,şarkıcı
singing,Şarkı söyleme
single,Bekar
sink,atmak
sir,Sayın
sister,kız kardeş
sit,oturmak
site,alan
situation,durum
six,altı
sixteen,on altı
sixty,altmış
size,boyut
ski,kayak
skiing,kayak yapma
skill,yetenek
skin,deri
skirt,etek
sky,gökyüzü
slave,köle
sleep,uyumak
slice,dilim
slide,slayt
slight,hafif
slightly,biraz
slip,kaymak
slope,eğim
slow,yavaş
slowly,yavaş yavaş
small,küçük
smart,akıllı
smell,koku
smile,gülümsemek
smoke,Sigara içmek
smoking,sigara içmek
smooth,düz
snake,yılan
snow,kar
so,Bu yüzden
soap,sabun
soccer,futbol
social,sosyal
society,toplum
sock,çorap
soft,yumuşak
software,yazılım
soil,toprak
solar,güneş
soldier,asker
solid,sağlam
solution,çözüm
solve,çözmek
some,bazı
somebody,biri
someone,birisi
something,bir şey
sometimes,Bazen
somewhat,biraz
somewhere,bir yerde
son,oğul
song,şarkı
soon,yakında
sorry,Üzgünüm
sort,düzenlemek
soul,ruh
sound,ses
soup,çorba
source,kaynak
south,güney
southern,güney
space,uzay
speak,konuşmak
speaker,konuşmacı
special,özel
specialist,uzman
species,türler
specific,özel
specifically,özellikle
speech,konuşma
speed,hız
spell,hecelemek
spelling,yazım
spend,harcamak
spending,harcama
spicy,baharatlı
spider,örümcek
spirit,ruh
spiritual,manevi
split,bölmek
spoken,konuşulmuş
sponsor,sponsor
spoon,kaşık
sport,spor
spot,leke
spread,yaymak
spring,bahar
square,kare
stable,stabil
stadium,stadyum
staff,kadro
stage,sahne
stair,merdiven
stamp,damga vurmak
stand,durmak
standard,standart
star,yıldız
stare,dik dik dikmek
start,başlangıç
state,durum
statement,ifade
station,istasyon
statistic,istatistik
statue,heykel
status,durum
stay,kalmak
steady,sabit durmak
steal,hırsızlık yapmak
steel,çelik
steep,dik
step,adım
stick,sopa
sticky,yapışkan
stiff,katı
still,Hala
stock,stoklamak
stomach,karın
stone,taş
stop,durmak
store,mağaza
storm,fırtına
story,hikaye
straight,dümdüz
strange,garip
stranger,yabancı
strategy,strateji
stream,aktarım
street,sokak
strength,kuvvet
stress,stres
stretch,uzatmak
strict,sıkı
strike,çarpmak
string,sicim
strong,güçlü
strongly,kuvvetle
structure,yapı
struggle,çabalamak
student,öğrenci
studio,stüdyo
study,çalışmak
stuff,şey
stupid,aptal
style,stil
subject,ders
sublist,lüks
submit,göndermek
substance,madde
succeed,başarmak
success,başarı
successful,başarılı
successfully,başarıyla
such,çok
sudden,birden
suddenly,Birden
suffer,acı çekmek
sugar,şeker
suggest,tavsiye etmek
suggestion,telkin
suit,uygun olmak
suitable,uygun
sum,meblağ
summarize,özetlemek
summary,özet
summer,yaz
sun,güneş
sunday,Pazar
supermarket,süpermarket
supply,tedarik
support,Destek
supporter,destekçi
suppose,sanmak
sure,Elbette
surely,elbette
surface,yüzey
surgery,ameliyat
surprise,sürpriz
surprised,şaşırmış
surprising,şaşırtıcı
surround,çevrelemek
surrounding,çevreleyen
survey,anket
survive,hayatta kalmak
suspect,şüphelenmek
swear,küfür
sweater,Kazak
sweep,süpürmek
sweet,tatlı
swim,yüzmek
swimming,yüzme
switch,anahtar
symbol,sembol
sympathy,sempati
symptom,semptom
system,sistem
tackle,olta takımı
tactic,taktik
tactical,taktik
tag,etiket
tap,musluk
taxpayer,vergi mükellefi
technological,teknolojik
teens,gençler
temple,tapınak
temporarily,geçici
tempt,baştan çıkarmak
tenant,kiracı
tendency,eğilim
tender,sunmak
tension,tansiyon
tenure,görev süresi
terminal,terminal
terminate,sonlandırmak
terms,şartlar
terrain,arazi
terribly,çok
terrific,müthiş
terrify,korkutmak
territory,bölge
terror,terör
terrorism,terörizm
terrorist,terörist
testify,tanıklık etmek
testimony,tanıklık
testing,test yapmak
textbook,ders kitabı
texture,doku
thankfully,neyse ki
theatrical,tiyatro
theft,Çalınması
theology,teoloji
theoretical,teorik
therapist,terapist
thereafter,daha sonra
thereby,böylece
thesis,tez
thorough,tam
thoroughly,iyice
thought-provoking,düşündürücü
thoughtful,düşünceli
thread,iplik
threshold,eşik
thrilled,heyecanlı
thrive,gelişmek
thumb,baş parmak
tide,gelgit
tighten,sıkılaştırmak
timber,kereste
timely,zamanında
timing,zamanlama
tissue,doku
tobacco,tütün
tolerance,hata payı
tolerate,tolere etmek
toll,Geçiş ücreti
ton,ton
tonne,ton
top,tepe
torture,işkence
toss,atmak
total,Toplam
tournament,turnuva
toxic,zehirli
trace,iz
trademark,marka
trading,ticaret
tragedy,trajedi
tragic,trajik
trail,iz
trailer,römork
trait,karakter
transaction,işlem
transcript,deşifre metni
transformation,dönüşüm
transit,taşıma
transmission,bulaşma
transmit,aktarmak
transparency,şeffaflık
transparent,şeffaf
transportation,toplu taşıma
trap,tuzak
trauma,travma
treasure,hazine
treaty,antlaşma
tremendous,muazzam
tribal,kabile
tribe,kabile
tribunal,mahkeme
tribute,takdir
trigger,tetiklemek
trillion,trilyon
trio,üçlü
triumph,zafer
troop,birleşmek
trophy,ganimet
troubled,sıkıntılı
trustee,mütevelli heyeti
tsunami,tsunami
tuition,öğrenim
turnout,boşaltmak
turnover,devir
twist,bükmek
t-shirt,tişört
table,masa
tablet,tablet
tail,kuyruk
take,almak
tale,masal
talent,yetenek
talented,yetenekli
talk,konuşmak
tall,uzun
tank,tank
tape,kaset
target,hedef
task,görev
taste,tatmak
tax,vergi
taxi,taksi
tea,çay
teach,öğretmek
teacher,Öğretmen
teaching,öğretim
team,takım
tear,göz yaşı
technical,teknik
technique,teknik
technology,teknoloji
teenage,genç
teenager,genç
telephone,telefon
television,televizyon
tell,söylemek
temperature,sıcaklık
temporary,geçici
ten,on
tend,eğilimli olma
tennis,tenis
tent,çadır
term,terim
terrible,korkunç
test,Ölçek
text,metin
than,hariç
thank,teşekkür etmek
thanks,teşekkürler
that,O
the,.
theatre,tiyatro
their,onların
theirs,onların
them,onlara
theme,tema
themselves,kendileri
then,Daha sonra
theory,teori
therapy,terapi
there,Orası
therefore,Öyleyse
they,Onlar
thick,kalın
thief,hırsız
thin,ince
thing,şey
think,düşünmek
thinking,düşünme
third,üçüncü
thirsty,susuz
thirteen,on üç
thirty,otuz
this,Bu
though,Yine de
thought,düşünce
thousand,bin
threat,tehdit
threaten,tehdit etmek
three,üç
throat,boğaz
through,başından sonuna kadar
throughout,boyunca
throw,fırlatmak
thursday,Perşembe
thus,Böylece
ticket,bilet
tidy,düzenli
tie,bağlamak
tight,sıkı
till,kadar
time,zaman
tin,teneke
tiny,minik
tip,uç
tired,yorgun
title,başlık
to,ile
today,Bugün
toe,ayak parmağı
together,birlikte
toilet,tuvalet
tomato,domates
tomorrow,Yarın
tone,tonlamak
tongue,dil
tonight,bu akşam
too,fazla
tool,alet
tooth,diş
top,tepe
topic,başlık
total,Toplam
totally,tamamen
touch,dokunmak
tough,zorlu
tour,tur
tourism,turizm
tourist,turist
towards,karşı
towel,havlu
tower,kule
town,şehir
toy,oyuncak
track,izlemek
trade,ticaret
tradition,gelenek
traditional,geleneksel
traffic,trafik
train,tren
trainer,eğitimci
training,eğitim
transfer,Aktar
transform,dönüşüm
transition,geçiş
translate,Çevirmek
translation,tercüme
transport,Ulaşım
travel,seyahat
traveller,gezgin
treat,davranmak
treatment,tedavi
tree,ağaç
trend,akım
trial,duruşma
trick,kandırmak
trip,seyahat
tropical,tropikal
trouble,bela
trousers,pantolonlar
truck,kamyon
TRUE,DOĞRU
truly,tamamen
trust,güven
truth,gerçek
try,denemek
tube,tüp
tuesday,Salı
tune,ayarlamak
tunnel,tünel
turn,dönüş
tv,televizyon
twelve,on iki
twenty,yirmi
twice,iki kere
twin,ikiz
two,iki
type,tip
typical,tipik
typically,tipik
tyre,yorulmak
ultimate,nihai
unacceptable,kabul edilemez
uncertainty,belirsizlik
undergo,uğramak
undergraduate,lisans
underlying,altta yatan
undermine,zayıflatmak
undertake,üstlenmek
undoubtedly,kuşkusuz
unfold,açılmak
unfortunate,talihsiz
unify,birleştirmek
unite,birleştirmek
unity,birlik
universal,evrensel
unprecedented,benzeri görülmemiş
unveil,ortaya çıkarmak
upcoming,yaklaşan
upgrade,güncelleme
uphold,korumak
urgent,acil
usage,kullanım
useless,kullanışsız
utility,Yarar
utilize,faydalanmak
utterly,tamamen
ugly,çirkin
ultimately,nihayetinde
umbrella,şemsiye
unable,aciz
uncle,amca
uncomfortable,rahatsız
unconscious,bilinçsiz
under,altında
underground,yeraltı
understand,anlamak
understanding,anlayışlı
underwear,iç çamaşırı
unemployed,işsiz
unemployment,işsizlik
unexpected,beklenmedik
unfair,haksız
unfortunately,Ne yazık ki
unhappy,mutsuz
uniform,üniforma
union,birlik
unique,eşsiz
unit,birim
united,Birleşik
universe,Evren
university,Üniversite
unknown,Bilinmeyen
unless,meğer ki
unlike,farklı
unlikely,olası olmayan
unnecessary,gereksiz
unpleasant,hoş olmayan
until,değin
unusual,olağan dışı
up,yukarı
update,güncelleme
upon,üzerine
upper,üst
upset,üzgün
upstairs,üst katta
upwards,yukarı
urban,kentsel
urge,dürtü
us,biz
use,kullanmak
used,kullanılmış
used to,eskiden
useful,kullanışlı
user,kullanıcı
usual,olağan
usually,genellikle
vacuum,vakum
vague,başıboş dolaşmak
valid,geçerli
validity,geçerlilik
vanish,yok olmak
variable,değişken
variation,varyasyon
varied,çeşitli
vein,damar
venture,girişim
verbal,sözlü
verdict,karar
verify,doğrulamak
verse,ayet
versus,e karşı
vertical,dikey
vessel,gemi
veteran,kıdemli
viable,uygun
vibrant,canlı
vice,mengene
vicious,kısır
viewpoint,bakış açısı
villager,köylü
violate,ihlal etmek
violation,ihlal
virtue,Erdem
visa,vize
visible,görünür
vocal,vokal
voluntary,gönüllü
voting,oylama
vow,yemin etmek
vulnerability,güvenlik açığı
vulnerable,hassas
vacation,tatil
valley,vadi
valuable,değerli
value,değer
van,kamyonet
variety,çeşitlilik
various,çeşitli
vary,çeşitli
vast,büyüklük
vegetable,sebze
vehicle,araç
venue,yer
version,versiyon
very,çok
via,aracılığıyla
victim,kurban
victory,zafer
video,video
view,görüş
viewer,izleyici
village,köy
violence,şiddet
violent,şiddetli
virtual,sanal
virus,virüs
vision,görüş
visit,ziyaret etmek
visitor,ziyaretçi
visual,görsel
vital,hayati
vitamin,vitamin
voice,ses
volume,hacim
volunteer,gönüllü
vote,oy
wander,dolaşmak
ward,koğuş
warehouse,depo
warfare,savaş
warming,ısınma
warrant,garanti
warrior,savaşçı
weaken,zayıflatmak
weave,örgü
weed,esrar
weekly,haftalık
weird,garip
welfare,refah
well,Peki
well-being,refah
whatsoever,Herhangi bir
wheat,buğday
whereby,vasıtasıyla
whilst,İken
whip,kırbaçlamak
whoever,her kim
wholly,tamamen
widen,genişletmek
widespread,yaygın
widow,dul
width,Genişlik
willingness,istekli olma
wipe,silip süpürmek
wisdom,bilgelik
wit,zekâ
withdraw,geri çekilmek
withdrawal,para çekme
workforce,işgücü
workout,antrenman yapmak
